"pop","pop_n","year","spawners","recruits"
"Cascade",1,1986,0.38,0.921
"Cascade",1,1987,0.2,0.403
"Cascade",1,1988,0.133,0.643
"Cascade",1,1989,0.218,0.445
"Cascade",1,1990,0.269,0.352
"Cascade",1,1991,0.135,0.389
"Cascade",1,1992,0.205,0.278
"Cascade",1,1993,0.168,0.779
"Cascade",1,1994,0.173,0.528
"Cascade",1,1995,0.225,0.093
"Cascade",1,1996,0.208,0.479
"Cascade",1,1997,0.308,1.38
"Cascade",1,1998,0.323,0.34
"Cascade",1,1999,0.083,0.434
"Cascade",1,2000,0.273,0.525
"Cascade",1,2001,0.625,0.48
"Cascade",1,2002,0.34,0.56
"Cascade",1,2003,0.298,0.274
"Cascade",1,2004,0.38,0.456
"Cascade",1,2005,0.42,0.563
"Cedar",2,1986,0.98,3.799
"Cedar",2,1987,1.561,0.021
"Cedar",2,1988,0.598,4.354
"Cedar",2,1989,0.559,0.081
"Cedar",2,1990,0.521,0.308
"Cedar",2,1991,0.51,2.086
"Cedar",2,1992,0.531,0.444
"Cedar",2,1993,0.189,0.223
"Cedar",2,1994,0.466,0.586
"Cedar",2,1995,0.689,0.586
"Cedar",2,1996,0.32,0.009
"Cedar",2,1997,0.243,1.438
"Cedar",2,1998,0.433,1.004
"Cedar",2,1999,0.274,0.76
"Cedar",2,2000,0.126,1.037
"Cedar",2,2001,0.836,0.854
"Cedar",2,2002,0.389,1.25
"Cedar",2,2003,0.571,3.699
"Cedar",2,2004,0.601,1.823
"Cedar",2,2005,0.542,0.764
"Dungeness",3,1986,0.238,0.492
"Dungeness",3,1987,0.1,0.066
"Dungeness",3,1988,0.335,0.372
"Dungeness",3,1989,0.088,0.061
"Dungeness",3,1990,0.31,0.061
"Dungeness",3,1991,0.163,0.235
"Dungeness",3,1992,0.153,0.15
"Dungeness",3,1993,0.043,0.048
"Dungeness",3,1994,0.065,0.131
"Dungeness",3,1995,0.163,0.055
"Dungeness",3,1996,0.183,0.479
"Dungeness",3,1997,0.05,0.111
"Dungeness",3,1998,0.11,1.133
"Dungeness",3,1999,0.075,0.424
"Dungeness",3,2000,0.218,1.422
"Dungeness",3,2001,0.453,1.487
"Dungeness",3,2002,0.633,1.341
"Dungeness",3,2003,0.64,0.609
"Dungeness",3,2004,0.953,0.433
"Dungeness",3,2005,0.955,0.327
"Duwamish",4,1986,5.408,52.908
"Duwamish",4,1987,10.731,11.76
"Duwamish",4,1988,8.466,24.671
"Duwamish",4,1989,11.512,6.468
"Duwamish",4,1990,7.104,13.24
"Duwamish",4,1991,10.548,10.817
"Duwamish",4,1992,5.692,12.343
"Duwamish",4,1993,2.559,17.649
"Duwamish",4,1994,4.284,8.61
"Duwamish",4,1995,9.219,15.935
"Duwamish",4,1996,6.428,8.173
"Duwamish",4,1997,7.429,16.783
"Duwamish",4,1998,6.25,40.118
"Duwamish",4,1999,7.502,6.453
"Duwamish",4,2000,4.876,24.63
"Duwamish",4,2001,6.594,0.888
"Duwamish",4,2002,8.09,17.681
"Duwamish",4,2003,5.89,6.495
"Duwamish",4,2004,8.32,22.512
"Duwamish",4,2005,2.617,0.755
"Elwha",5,1986,0.888,3.366
"Elwha",5,1987,1.672,5.486
"Elwha",5,1988,5.309,4.657
"Elwha",5,1989,3.059,0.468
"Elwha",5,1990,1.655,0.702
"Elwha",5,1991,1.474,0.561
"Elwha",5,1992,0.485,0.451
"Elwha",5,1993,0.636,1.822
"Elwha",5,1994,0.164,0.908
"Elwha",5,1995,0.54,1.324
"Elwha",5,1996,0.374,0.419
"Elwha",5,1997,1.578,1.786
"Elwha",5,1998,0.724,0.644
"Elwha",5,1999,0.927,0.892
"Elwha",5,2000,0.725,3.258
"Elwha",5,2001,0.665,0.959
"Elwha",5,2002,0.888,0.966
"Elwha",5,2003,0.471,0.634
"Elwha",5,2004,0.928,0.493
"Elwha",5,2005,0.748,1.338
"Lower_Sauk",6,1986,1.143,5.081
"Lower_Sauk",6,1987,0.792,2.073
"Lower_Sauk",6,1988,1.052,2.202
"Lower_Sauk",6,1989,0.449,0.739
"Lower_Sauk",6,1990,1.294,0.322
"Lower_Sauk",6,1991,0.658,0.811
"Lower_Sauk",6,1992,0.469,2.661
"Lower_Sauk",6,1993,0.205,0.499
"Lower_Sauk",6,1994,0.112,0.952
"Lower_Sauk",6,1995,0.278,0.478
"Lower_Sauk",6,1996,1.103,2.812
"Lower_Sauk",6,1997,0.295,1.883
"Lower_Sauk",6,1998,0.46,1.377
"Lower_Sauk",6,1999,0.295,2.336
"Lower_Sauk",6,2000,0.576,0.407
"Lower_Sauk",6,2001,1.103,1.149
"Lower_Sauk",6,2002,0.91,1.507
"Lower_Sauk",6,2003,1.493,0.411
"Lower_Sauk",6,2004,0.443,1.452
"Lower_Sauk",6,2005,0.875,4.431
"Lower_Skagit",7,1986,4.584,17.643
"Lower_Skagit",7,1987,2.635,2.93
"Lower_Skagit",7,1988,2.339,7.555
"Lower_Skagit",7,1989,1.454,3.048
"Lower_Skagit",7,1990,3.705,3.489
"Lower_Skagit",7,1991,1.51,0.578
"Lower_Skagit",7,1992,1.331,4.512
"Lower_Skagit",7,1993,0.942,1.479
"Lower_Skagit",7,1994,0.884,3.284
"Lower_Skagit",7,1995,0.666,1.634
"Lower_Skagit",7,1996,1.521,8.537
"Lower_Skagit",7,1997,0.409,7.02
"Lower_Skagit",7,1998,2.388,3.948
"Lower_Skagit",7,1999,1.043,2.79
"Lower_Skagit",7,2000,3.262,4.607
"Lower_Skagit",7,2001,2.606,3.546
"Lower_Skagit",7,2002,4.866,4.422
"Lower_Skagit",7,2003,1.161,1.29
"Lower_Skagit",7,2004,3.07,6.417
"Lower_Skagit",7,2005,3.32,3.648
"NF_Nooksack",8,1986,0.226,0.014
"NF_Nooksack",8,1987,0.181,0.181
"NF_Nooksack",8,1988,0.452,0.686
"NF_Nooksack",8,1989,0.301,0.856
"NF_Nooksack",8,1990,0.01,0.112
"NF_Nooksack",8,1991,0.108,0.245
"NF_Nooksack",8,1992,0.498,0.852
"NF_Nooksack",8,1993,0.446,0.583
"NF_Nooksack",8,1994,0.046,0.268
"NF_Nooksack",8,1995,0.235,0.887
"NF_Nooksack",8,1996,0.536,1.681
"NF_Nooksack",8,1997,0.621,5.255
"NF_Nooksack",8,1998,0.376,5.338
"NF_Nooksack",8,1999,0.834,4.209
"NF_Nooksack",8,2000,1.372,4.238
"NF_Nooksack",8,2001,4.057,2.735
"NF_Nooksack",8,2002,7.473,1.898
"NF_Nooksack",8,2003,3.459,1.853
"NF_Nooksack",8,2004,3.527,1.619
"NF_Nooksack",8,2005,3.156,1.997
"NF_Stillaguamish",9,1986,1.015,3.043
"NF_Stillaguamish",9,1987,1.065,2.626
"NF_Stillaguamish",9,1988,0.548,2.373
"NF_Stillaguamish",9,1989,0.636,1.844
