dyear,CO2
1971.042,326.17
1971.125,326.68
1971.208,327.18
1971.292,327.78
1971.375,328.92
1971.458,328.57
1971.542,327.34
1971.625,325.46
1971.708,323.36
1971.792,323.57
1971.875,324.8
1971.958,326.01
1972.042,326.77
1972.125,327.63
1972.208,327.75
1972.292,329.72
1972.375,330.07
1972.458,329.09
1972.542,328.05
1972.625,326.32
1972.708,324.93
1972.792,325.06
1972.875,326.5
1972.958,327.55
1973.042,328.54
1973.125,329.56
1973.208,330.3
1973.292,331.5
1973.375,332.48
1973.458,332.07
1973.542,330.87
1973.625,329.31
1973.708,327.51
1973.792,327.18
1973.875,328.16
1973.958,328.64
1974.042,329.35
1974.125,330.71
1974.208,331.48
1974.292,332.65
1974.375,333.19
1974.458,332.16
1974.542,331.07
1974.625,329.12
1974.708,327.32
1974.792,327.28
1974.875,328.3
1974.958,329.58
1975.042,330.73
1975.125,331.46
1975.208,331.9
1975.292,333.17
1975.375,333.94
1975.458,333.45
1975.542,331.98
1975.625,329.95
1975.708,328.5
1975.792,328.34
1975.875,329.37
1975.958,330.58
1976.042,331.58
1976.125,332.75
1976.208,333.52
1976.292,334.64
1976.375,334.77
1976.458,334
1976.542,333.06
1976.625,330.68
1976.708,328.95
1976.792,328.75
1976.875,330.15
1976.958,331.62
1977.042,332.66
1977.125,333.13
1977.208,334.95
1977.292,336.13
1977.375,336.93
1977.458,336.17
1977.542,334.88
1977.625,332.56
1977.708,331.29
1977.792,331.27
1977.875,332.41
1977.958,333.6
1978.042,334.95
1978.125,335.25
1978.208,336.66
1978.292,337.69
1978.375,338.03
1978.458,338.01
1978.542,336.41
1978.625,334.41
1978.708,332.37
1978.792,332.41
1978.875,333.75
1978.958,334.9
1979.042,336.14
1979.125,336.69
1979.208,338.27
1979.292,338.95
1979.375,339.21
1979.458,339.26
1979.542,337.54
1979.625,335.75
1979.708,333.98
1979.792,334.19
1979.875,335.31
1979.958,336.81
1980.042,337.9
1980.125,338.34
1980.208,340.01
1980.292,340.93
1980.375,341.48
1980.458,341.33
1980.542,339.4
1980.625,337.7
1980.708,336.19
1980.792,336.15
1980.875,337.27
1980.958,338.32
1981.042,339.29
1981.125,340.55
1981.208,341.62
1981.292,342.53
1981.375,343.03
1981.458,342.54
1981.542,340.78
1981.625,338.44
1981.708,336.95
1981.792,337.08
1981.875,338.58
1981.958,339.88
1982.042,340.96
1982.125,341.73
1982.208,342.81
1982.292,343.97
1982.375,344.63
1982.458,343.79
1982.542,342.32
1982.625,340.09
1982.708,338.28
1982.792,338.29
1982.875,339.6
1982.958,340.9
1983.042,341.68
1983.125,342.9
1983.208,343.33
1983.292,345.25
1983.375,346.03
1983.458,345.63
1983.542,344.19
1983.625,342.27
1983.708,340.35
1983.792,340.38
1983.875,341.59
1983.958,343.05
1984.042,344.1
1984.125,344.79
1984.208,345.52
1984.292,346.84
1984.375,347.63
1984.458,346.98
1984.542,345.53
1984.625,343.55
1984.708,341.4
1984.792,341.67
1984.875,343.1
1984.958,344.7
1985.042,345.21
1985.125,346.16
1985.208,347.74
1985.292,348.34
1985.375,349.06
1985.458,348.38
1985.542,346.71
1985.625,345.02
1985.708,343.27
1985.792,343.13
1985.875,344.49
1985.958,345.88
1986.042,346.56
1986.125,347.28
1986.208,348.01
1986.292,349.77
1986.375,350.38
1986.458,349.93
1986.542,348.16
1986.625,346.08
1986.708,345.22
1986.792,344.51
1986.875,345.93
1986.958,347.22
1987.042,348.52
1987.125,348.73
1987.208,349.73
1987.292,351.31
1987.375,352.09
1987.458,351.53
1987.542,350.11
1987.625,348.08
1987.708,346.52
1987.792,346.59
1987.875,347.96
1987.958,349.16
1988.042,350.39
1988.125,351.64
1988.208,352.4
1988.292,353.69
1988.375,354.21
1988.458,353.72
1988.542,352.69
1988.625,350.4
1988.708,348.92
1988.792,349.13
1988.875,350.2
1988.958,351.41
1989.042,352.91
1989.125,353.27
1989.208,353.96
1989.292,355.64
1989.375,355.86
1989.458,355.37
1989.542,353.99
1989.625,351.81
1989.708,350.05
1989.792,350.25
1989.875,351.49
1989.958,352.85
1990.042,353.8
1990.125,355.04
1990.208,355.73
1990.292,356.32
1990.375,357.32
1990.458,356.34
1990.542,354.84
1990.625,353.01
1990.708,351.31
1990.792,351.62
1990.875,353.07
1990.958,354.33
1991.042,354.84
1991.125,355.73
1991.208,357.23
1991.292,358.66
1991.375,359.13
1991.458,358.13
1991.542,356.19
1991.625,353.85
1991.708,352.25
1991.792,352.35
1991.875,353.81
1991.958,355.12
1992.042,356.25
1992.125,357.11
1992.208,357.86
1992.292,359.09
1992.375,359.59
1992.458,359.33
1992.542,357.01
1992.625,354.94
1992.708,352.96
1992.792,353.32
1992.875,354.32
1992.958,355.57
1993.042,357
1993.125,357.31
1993.208,358.47
1993.292,359.27
1993.375,360.19
1993.458,359.52
1993.542,357.33
1993.625,355.64
1993.708,354.03
1993.792,354.12
1993.875,355.41
1993.958,356.91
1994.042,358.24
1994.125,358.92
1994.208,359.99
1994.292,361.23
1994.375,361.65
1994.458,360.81
1994.542,359.38
1994.625,357.46
1994.708,355.73
1994.792,356.08
1994.875,357.53
1994.958,358.98
1995.042,359.92
1995.125,360.86
1995.208,361.83
1995.292,363.3
1995.375,363.69
1995.458,363.19
1995.542,361.64
1995.625,359.12
1995.708,358.17
1995.792,357.99
1995.875,359.45
1995.958,360.68
1996.042,362.07
1996.125,363.24
1996.208,364.17
1996.292,364.57
1996.375,365.13
1996.458,364.92
1996.542,363.55
1996.625,361.38
1996.708,359.54
1996.792,359.58
1996.875,360.89
1996.958,362.24
1997.042,363.09
1997.125,364.03
1997.208,364.51
1997.292,366.35
1997.375,366.64
1997.458,365.59
1997.542,364.31
1997.625,362.25
1997.708,360.29
1997.792,360.82
1997.875,362.49
1997.958,364.38
1998.042,365.27
1998.125,365.98
1998.208,367.24
1998.292,368.66
1998.375,369.42
1998.458,368.99
1998.542,367.82
1998.625,365.95
1998.708,364.02
1998.792,364.4
1998.875,365.52
1998.958,367.13
1999.042,368.18
1999.125,369.07
1999.208,369.68
1999.292,370.99
1999.375,370.96
1999.458,370.3
1999.542,369.45
1999.625,366.9
1999.708,364.81
1999.792,365.37
1999.875,366.72
1999.958,368.1
2000.042,369.29
2000.125,369.55
2000.208,370.6
2000.292,371.82
2000.375,371.58
2000.458,371.7
2000.542,369.86
2000.625,368.13
2000.708,367
2000.792,367.03
2000.875,368.37
2000.958,369.67
