"n_days","location","rain"
4,"L",15
1,"L",0
4,"L",40.2
2,"L",35.6
1,"L",0
1,"L",0
2,"L",0
1,"L",0
2,"L",0
2,"L",0
1,"L",0
1,"L",0
1,"L",0
1,"L",0
1,"L",0
5,"L",16.5
1,"L",0
3,"L",0
2,"L",0.1
1,"L",0
1,"L",0
2,"L",0
1,"L",0
2,"L",0.5
1,"L",0
1,"L",0
1,"L",0.5
1,"L",0
1,"L",0
1,"L",0
1,"L",0
1,"L",0
1,"L",0
5,"L",0.2
7,"L",35.7
2,"L",5.2
2,"L",0.2
2,"L",0.1
1,"L",0.1
6,"L",25.5
1,"L",0
1,"L",0.2
1,"L",0
1,"L",0
2,"L",65.7
1,"L",11.7
1,"L",41.9
1,"L",0.2
2,"L",13.1
2,"L",23.8
1,"L",0.1
1,"L",0
1,"L",0
1,"L",0
2,"L",0
1,"L",0
1,"L",0
2,"L",0.1
5,"L",1.6
2,"L",0
1,"L",0
1,"L",0
2,"L",0
11,"L",35.9
1,"L",0.2
1,"L",0
2,"L",0
1,"L",1.2
3,"L",0
2,"L",0
1,"L",0
1,"L",0
1,"L",0
1,"L",0
1,"L",0
1,"L",0.3
1,"L",0
1,"L",0
2,"L",65.7
3,"L",0
7,"L",17.2
1,"L",0
1,"L",0
13,"V",36.4
1,"V",0
1,"V",0
4,"V",0
1,"V",0
1,"V",0
10,"V",35.9
2,"V",0.3
1,"V",0
1,"V",0.8
1,"V",0
1,"V",0
1,"V",0
4,"V",0.8
5,"V",1.6
1,"V",0
19,"V",0.5
1,"V",0
1,"V",11.7
3,"V",0.8
1,"V",0.1
1,"V",0.1
1,"V",4.5
1,"V",0.3
1,"V",0.1
1,"V",0.3
1,"V",1.5
1,"V",0
1,"V",0
2,"V",0
3,"V",0.1
4,"V",7.3
2,"V",0.3
1,"V",0
1,"V",0.1
2,"V",20.6
1,"V",0.2
4,"V",59.8
1,"V",0.2
1,"V",0.8
8,"V",6.3
2,"V",0
3,"V",0
8,"V",0.4
1,"V",0.2
3,"V",1.8
4,"V",0
