"Daphnia","Temp","Greens","Cyclops"
-1.15,12.2,-1.32,-1.67
-1.73,11.5,-1.51,-2.02
-1.89,11.6,-2.48,-1.39
-0.94,12.8,-0.69,-0.3
-0.05,14,0.02,1.6
0.99,15.4,0.82,1.47
1,17.2,2.42,1.33
0.62,16.8,-0.11,0.72
0.18,16.9,-0.64,0.19
0.02,15.3,0.35,-0.37
0.52,13.6,1.09,-0.63
-0.78,12.2,0.14,-1.51
-1.36,11.2,-0.08,-1.52
-1.24,11.3,0.63,-0.39
-0.91,11.4,1.32,0.56
-1.25,12.4,1.39,-0.17
0.04,13.8,0.25,2.05
0.89,14.9,0.11,1.4
0.93,16.3,1.68,0.41
0.44,16.5,0.23,-1.05
0.26,16.8,0.08,-1.4
0.59,15.8,0.07,-1.05
0.68,14,-0.06,-0.11
0.45,12.7,-0.99,-0.84
-1.39,12.1,0.48,-1.28
-0.65,12,-1.29,-0.79
-0.8,12.7,-0.45,0.54
0.95,13.8,-0.93,2.67
1.5,14.9,1.14,1.79
1.25,16.5,0.5,1.66
0.71,17.3,0.91,0.76
0.33,17.6,0.38,-0.88
0.37,16.9,0.52,-1.45
0.98,15.8,-0.12,-0.27
0.41,15,0.91,-0.39
0.24,12.9,-0.07,-0.53
