"pop","pop_n","year","spawners","recruits","prop_wild"
"Cascade",1,1986,0.38,0.921,0.98
"Cascade",1,1987,0.2,0.403,0.98
"Cascade",1,1988,0.133,0.643,0.98
"Cascade",1,1989,0.218,0.445,0.98
"Cascade",1,1990,0.269,0.352,0.98
"Cascade",1,1991,0.135,0.389,0.98
"Cascade",1,1992,0.205,0.278,0.98
"Cascade",1,1993,0.168,0.779,0.98
"Cascade",1,1994,0.173,0.528,0.98
"Cascade",1,1995,0.225,0.093,0.98
"Cascade",1,1996,0.208,0.479,0.98
"Cascade",1,1997,0.308,1.38,0.98
"Cascade",1,1998,0.323,0.34,0.98
"Cascade",1,1999,0.083,0.434,0.98
"Cascade",1,2000,0.273,0.525,0.98
"Cascade",1,2001,0.625,0.48,0.99
"Cascade",1,2002,0.34,0.56,0.98
"Cascade",1,2003,0.298,0.274,0.98
"Cascade",1,2004,0.38,0.456,0.98
"Cascade",1,2005,0.42,0.563,0.95
"Cedar",2,1986,0.98,3.799,0.92
"Cedar",2,1987,1.561,0.021,0.96
"Cedar",2,1988,0.598,4.354,0.94
"Cedar",2,1989,0.559,0.081,0.86
"Cedar",2,1990,0.521,0.308,0.76
"Cedar",2,1991,0.51,2.086,0.93
"Cedar",2,1992,0.531,0.444,0.95
"Cedar",2,1993,0.189,0.223,0.52
"Cedar",2,1994,0.466,0.586,0.81
"Cedar",2,1995,0.689,0.586,0.92
"Cedar",2,1996,0.32,0.009,0.85
"Cedar",2,1997,0.243,1.438,0.5
"Cedar",2,1998,0.433,1.004,0.63
"Cedar",2,1999,0.274,0.76,0.68
"Cedar",2,2000,0.126,1.037,0.7
"Cedar",2,2001,0.836,0.854,0.72
"Cedar",2,2002,0.389,1.25,0.6
"Cedar",2,2003,0.571,3.699,0.61
"Cedar",2,2004,0.601,1.823,0.66
"Cedar",2,2005,0.542,0.764,0.69
"Dungeness",3,1986,0.238,0.492,0.18
"Dungeness",3,1987,0.1,0.066,0.18
"Dungeness",3,1988,0.335,0.372,0.18
"Dungeness",3,1989,0.088,0.061,0.18
"Dungeness",3,1990,0.31,0.061,0.18
"Dungeness",3,1991,0.163,0.235,0.18
"Dungeness",3,1992,0.153,0.15,0.18
"Dungeness",3,1993,0.043,0.048,0.18
"Dungeness",3,1994,0.065,0.131,0.18
"Dungeness",3,1995,0.163,0.055,0.18
"Dungeness",3,1996,0.183,0.479,0.18
"Dungeness",3,1997,0.05,0.111,0.18
"Dungeness",3,1998,0.11,1.133,0.18
"Dungeness",3,1999,0.075,0.424,0.18
"Dungeness",3,2000,0.218,1.422,0.18
"Dungeness",3,2001,0.453,1.487,0.04
"Dungeness",3,2002,0.633,1.341,0.18
"Dungeness",3,2003,0.64,0.609,0.19
"Dungeness",3,2004,0.953,0.433,0.2
"Dungeness",3,2005,0.955,0.327,0.32
"Duwamish",4,1986,5.408,52.908,0.11
"Duwamish",4,1987,10.731,11.76,0.49
"Duwamish",4,1988,8.466,24.671,0.45
"Duwamish",4,1989,11.512,6.468,0.64
"Duwamish",4,1990,7.104,13.24,0.49
"Duwamish",4,1991,10.548,10.817,0.41
"Duwamish",4,1992,5.692,12.343,0.31
"Duwamish",4,1993,2.559,17.649,0.62
"Duwamish",4,1994,4.284,8.61,0.35
"Duwamish",4,1995,9.219,15.935,0.48
"Duwamish",4,1996,6.428,8.173,0.2
"Duwamish",4,1997,7.429,16.783,0.22
"Duwamish",4,1998,6.25,40.118,0.22
"Duwamish",4,1999,7.502,6.453,0.48
"Duwamish",4,2000,4.876,24.63,0.52
"Duwamish",4,2001,6.594,0.888,0.78
"Duwamish",4,2002,8.09,17.681,0.77
"Duwamish",4,2003,5.89,6.495,0.44
"Duwamish",4,2004,8.32,22.512,0.66
"Duwamish",4,2005,2.617,0.755,0.4
"Elwha",5,1986,0.888,3.366,0.48
"Elwha",5,1987,1.672,5.486,0.48
"Elwha",5,1988,5.309,4.657,0.48
"Elwha",5,1989,3.059,0.468,0.48
"Elwha",5,1990,1.655,0.702,0.46
"Elwha",5,1991,1.474,0.561,0.63
"Elwha",5,1992,0.485,0.451,0.73
